@classification: <not yet checked>
@ids-name: Muisca_Phonemic
@iso: chb
@language: Chibcha
@size: 794
@source: ids
@variety: std
1.1	world	kɨkaɣuaac̷̣onuka
1.21	earth, land	kɨka
1.212	earth=ground, soil	ieɣi
1.213	dust	βuske
1.214	mud	isua
1.215	sand	ɣuanc̷̣a
1.22	mountain, hill	ɣua
1.23	plain, field	mɨkɨkpkuao
1.28	cave	ta
1.31	water	sie
1.33	lake	siua
1.341	lagoon	siua
1.35	wave	simke
1.36	river, stream, brook	sie
1.36	river, stream, brook	sietoke
1.37	spring, well	hiṣɨkɨ
1.41	woods, forest	kɨe
1.42	tree (cf 08.600)	kɨe
1.44	stone, rock	hɨka
1.45	earthquake	iec̷̣amiskua
1.51	sky	ɣuatkɨka
1.52	sun	sua
1.53	moon	ṣie
1.54	star	βaɣua
1.55	lightning	hikaβimɨ
1.56	thunder	kɨkac̷̣atinansuka
1.57	lightning (as striking)	pkahac̷̣a
1.59	rainbow	ṣukɨ
1.61	light (noun)	ṣie
1.62	darkness	umc̷̣akaɣekua
1.63	shade, shadow	ii
1.72	wind	βiβa
1.73	cloud	βaoa
1.74	fog	βaoa
1.75	rain (noun)	siu
1.76	snow (noun)	hiṣu
1.81	fire	ɣata
1.83	smoke (noun)	ie
1.84	ashes	βuske
1.84	ashes	sukta
1.841	embers	ɣatɨmoke
1.851	burn (vb trans)	βɣaipkuasuka
1.86	light, kindle, ignite	βɣɨnasuka
1.88	firewood	ia
1.89	charcoal	ɣac̷̣pkua
2.1	person, human being	mɨska
2.21	man (vs. woman)	mɨska
2.22	woman	mɨskaβuṣa
2.23	male	ṣa
2.24	female	βuhuṣa
2.24	female	βuṣa
2.25	boy	ɣuasɣuaṣa
2.26	girl	ɣuasɣuaβuṣa
2.27	child	ɣuasɣuaṣa
2.28	infant, baby	hic̷̣ɨka
2.31	husband	sahaoa
2.31	husband	saoa
2.32	wife	ɣi
2.33	marry	c̷̣ɨɣiɣoskua
2.35	father	paβa
2.35	father	paβi
2.36	mother	ɣuaia
2.38	married man	aɣiɣe
2.39	married woman	asahaoaɣe
2.41	son	ṣuta
2.42	daughter	ṣuta
2.43	offspring (son or daughter)	ṣuta
2.44	brother	nɨkɨ
2.444	older brother	ɣuia
2.445	younger brother	kuhuβa
2.45	sister	ɣuahac̷̣a
2.454	older sister	ɣuia
2.455	younger sister	kuhuβa
2.456	sibling	ɣuiaskuhuβasa
2.46	grandfather	ɣuesika
2.461	old man	tɨβaṣa
2.47	grandmother	kaka
2.471	old woman	ṣutkua
2.48	grandson	ṣune
2.49	granddaughter	ṣune
2.511	mother's brother	c̷̣ueṣa
2.512	father's brother	c̷̣ɨpaβa
2.521	mother's sister	c̷̣uaia
2.522	father's sister	c̷̣ɨpaβaβuṣa
2.53	nephew	ɣuaβsie
2.54	niece	ɣuaβsie
2.56	ancestors	sasβic̷̣a
2.61	father-in-law (of a man)	ṣika
2.611	father-in-law (of a woman)	ɣuaka
2.62	mother-in-law (of a man)	ɣɨi
2.621	mother-in-law (of a woman)	ṣasuaia
2.63	son-in-law (of a man)	ṣika
2.631	son-in-law (of a woman)	ɣuaka
2.64	daughter-in-law (of a man)	ɣɨi
2.641	daughter-in-law (of a woman)	ɣɨeka
2.71	stepfather	c̷̣ɨkɨhɨkpkuaiac̷̣ɨpaβa
2.72	stepmother	c̷̣ɨkɨhɨkpkuaiac̷̣uaia
2.73	stepson	c̷̣ɨkɨhɨkpkuaiaiṣuta
2.74	stepdaughter	c̷̣ɨkɨhɨkpkuaiaiṣuta
2.76	widow	asahaoaβɣɨe
2.77	widower	aɣɨβɣɨe
2.81	relatives, kinsmen	uake
2.91	I	hɨṣa
2.92	you (singular)	mue
2.93	he/she/it	asɨ
2.94	we	ṣie
2.95	you (plural)	mie
2.96	they	asɨ
3.12	male (adj)	ṣa
3.13	female (adj)	βuhuṣa
3.16	pasture	mɨkɨ
3.5	fowl	sue
3.52	cock, rooster	supkuaɣiṣa
3.54	hen	supkuaɣiβuṣa
3.57	duck	sumne
3.58	nest	uc̷̣e
3.581	bird	sue
3.583	heron	βuhupkua
3.584	eagle	tɨɣua
3.585	hawk	umpa
3.591	bat	supkua
3.594	dove	sumɣui
3.596	owl	simte
3.61	dog	to
3.614	rabbit	ṣuenɣi
3.63	mouse, rat	ṣuhuka
3.65	fish	ɣua
3.653	fishscale	c̷̣inɣua
3.73	bear	ɣia
3.74	fox	βo
3.75	deer	ṣihika
3.76	monkey	mic̷̣eɣi
3.811	louse	kue
3.811	louse	kumne
3.812	nit (louse egg)	kuiɣa
3.813	flea	mɨc̷̣a
3.815	scorpion	kɨsua
3.816	cockroach	ṣutaɣi
3.817	ant	ic̷̣e
3.818	spider	sospkua
3.819	spider web	sospkuac̷̣ine
3.82	bee	βusuapkuame
3.83	fly	ɨβsa
3.832	mosquito	ṣue
3.84	worm	sosua
3.84	worm	ona
3.85	snake	mɨsoakɨkaɣe
3.91	firefly	ṣuṣɨɣatɨ
3.94	snail	βic̷̣a
3.95	frog	c̷̣ihita
3.96	lizard	mɨhɨc̷̣ɨso
3.98	turtle	kueɣi
4.11	body	ɨβa
4.12	skin, hide	huka
4.13	flesh	ṣimɨ
4.14	hair (head)	c̷̣ɨe
4.142	beard	kɨhɨe
4.144	body hair	ɨβsa
4.146	dandruff	c̷̣inua
4.15	blood	hɨβa
4.151	vein, artery	ṣihic̷̣a
4.16	bone	kuɨne
4.162	rib	toβiakuɨn
4.17	horn	kuɨhɨe
4.18	tail	suhuka
4.19	back	ɣutakuɨn
4.191	spine	ɣepkekuɨn
4.2	head	c̷̣ɨskɨ
4.201	side of head, temple	aɣua
4.202	skull	c̷̣ɨskɨ
4.203	brain	c̷̣ote
4.204	face	uβa
4.205	forehead	kiɣua
4.207	jaw	kuɨnhuka
4.208	cheek	ɨṣua
4.209	chin	kuɨnhua
4.21	eye	upkua
4.212	eyebrow	ɣuikɨn
