@classification: North Caucasian,East Caucasian,Tsezic,West Tsezic
@ids-name: Hinukh_CyrillTrans
@iso: gin
@language: Hinukh
@size: 1345
@source: ids
@variety: std
1.1	world	дунйал
1.21	earth, land	пачалихъ
1.21	earth, land	хІукумат
1.212	earth=ground, soil	ракь
1.213	dust	гебу
1.214	mud	ату
1.215	sand	сали
1.22	mountain, hill	хвин
1.222	cliff, precipice	лъад
1.23	plain, field	майдан
1.24	valley	авлахъ
1.25	island	чІинкІиллъи
1.26	mainland	дуллан
1.27	shore	ихиш
1.27	shore	рагІал
1.28	cave	нохъо
1.28	cave	хъод
1.31	water	лъе
1.32	sea	ралъад
1.322	calm (of sea)	лъасиш
1.323	rough (of sea)	гьалагаб
1.324	foam	муж
1.329	ocean	ралъад
1.33	lake	гІалазан
1.35	wave	карачел
1.36	river, stream, brook	иху
1.36	river, stream, brook	маду
1.362	whirlpool	сотІирута
1.37	spring, well	кик
1.38	swamp	мозо
1.39	waterfall	чок
1.41	woods, forest	чехъ
1.42	tree (cf 08.600)	аже
1.43	wood	чехъ
1.44	stone, rock	гамачІ
1.44	stone, rock	лъад
1.45	earthquake	ракьлахлІеслъи
1.51	sky	ас
1.52	sun	бухъ
1.53	moon	буце
1.54	star	ца
1.55	lightning	макълІу
1.56	thunder	хуху
1.57	lightning (as striking)	макълІу
1.58	storm	лъаципури
1.59	rainbow	ашуне
1.61	light (noun)	канлъи
1.62	darkness	сассулъи
1.63	shade, shadow	гъеду
1.64	dew	хеби
1.71	air	хІохьел
1.72	wind	лъаци
1.73	cloud	ас
1.74	fog	ас
1.75	rain (noun)	хъема
1.76	snow (noun)	ише
1.77	ice	боре
1.78	weather	гьавабакъ
1.81	fire	чІе
1.82	flame (noun)	мец
1.83	smoke (noun)	кутІи
1.84	ashes	йелІу
1.841	embers	чІедасаму
1.851	burn (vb trans)	рекІвера
1.852	burn (vb intrans)	рекІва
1.86	light, kindle, ignite	чІегора
1.861	extinguish	чІеритІра
1.87	match (noun)	спичка
1.88	firewood	хъаца
1.89	charcoal	аму
2.1	person, human being	рекІве
