@classification: Nilo-Saharan,Saharan,Western,Kanuri
@iso: knc
@language: Kanuri, Central
@size: 1417
@source: wold
@variety: std
1.1	world	dúnyâ
1.21	earth, land	cídí
1.21	earth, land	lárdə̀
1.212	earth=ground, soil	cídí
1.213	dust	bə́rbə̀r
1.214	mud	tóló
1.215	sand	césà
1.215	sand	kàttî
1.22	mountain, hill	kâu
1.22	mountain, hill	kə̀rî
1.222	cliff, precipice	jòró
1.23	plain, field	fárák
1.23	plain, field	fáyà
1.24	valley	ngôr
1.25	island	kə́rtá
1.25	island	cúkú
1.27	shore	cînjîbè
1.27	shore	fòwòlí
1.28	cave	ngòrə̂m
1.31	water	njî
1.32	sea	báhàr
1.32	sea	njîkúrà
1.324	foam	bílwù
1.329	ocean	báhàr
1.329	ocean	njîkúrà
1.33	lake	kùlúwù
1.35	wave	kàzáànjîbè
1.36	river, stream, brook	bə́rə̀m
1.36	river, stream, brook	ngàdà
1.36	river, stream, brook	kə̀múdù
1.362	whirlpool	shîmnjîbè
1.37	spring, well	báràm
1.38	swamp	njìbòné
1.41	woods, forest	kàráàsə́lə́m
1.41	woods, forest	də̂r
1.43	wood	kə̀ská
1.44	stone, rock	kâu
1.45	earthquake	cə́dílólójì
1.51	sky	sàmî
1.52	sun	kə́ngâl
1.53	moon	kə́mbàl
1.53	moon	kə̀ndáwù
1.54	star	shílówù
1.55	lightning	rádə̀
1.56	thunder	kégə́ràngə̀rjî
1.57	lightning (as striking)	rádə̀
1.58	storm	kàrwàcìmé
1.59	rainbow	kə̀mármà
1.61	light (noun)	nûr
1.61	light (noun)	kánnú
1.62	darkness	nə̀kə̀lmə́skə̀
1.62	darkness	nə̀mcə́lə́m
1.63	shade, shadow	kàùdí
1.63	shade, shadow	kàfíà
1.64	dew	kùlóngù
1.71	air	kàsâm
1.72	wind	kàrwâ
1.73	cloud	fówó
1.74	fog	bàntə̀gə̀né
1.75	rain (noun)	də̀lágə̀
1.75	rain (noun)	njîsámìbè
1.76	snow (noun)	máfì
1.77	ice	máfì
1.78	weather	dùnyâ
1.81	fire	kánnú
1.82	flame (noun)	kánnúcámbî
1.82	flame (noun)	tə́làmkánnúbè
1.83	smoke (noun)	kàngê
1.84	ashes	búgə́
1.841	embers	kùndúwâl
1.851	burn (vb trans)	máltə́
1.852	burn (vb intrans)	máltə́
1.86	light, kindle, ignite	wàstə́
