@classification: Mataco-Guaicuru,Guaicuruan
@ids-name: Mocoví_Phonemic
@iso: moc
@language: Mocoví
@size: 1163
@source: ids
@variety: std
1.1	world	ʔlawa
1.21	earth, land	ʔlawa
1.212	earth=ground, soil	ʔlawa
1.213	dust	namoʁoyaʁa
1.214	mud	nšaaʁa
1.215	sand	loʔwaʁanaʁa
1.22	mountain, hill	soʁonaʁa
1.222	cliff, precipice	tokot
1.23	plain, field	noʔweenaʁa
1.24	valley	nkaʔmege
1.25	island	delek
1.27	shore	lemanaʁa
1.28	cave	lawak
1.31	water	waʁayaḳ
1.32	sea	waaʁai
1.322	calm (of sea)	naǰaaričigiɲi
1.324	foam	roʔi
1.329	ocean	waaʁai
1.33	lake	latogotlateʔogeʔ
1.341	lagoon	latogot
1.35	wave	loʔpaʁa
1.36	river, stream, brook	lačiwge
1.37	spring, well	liʔlʸiwioʁoki
1.38	swamp	ḳaiʔim
1.41	woods, forest	ʔooči
1.42	tree (cf 08.600)	ḳoʔpaḳ
1.43	wood	ḳoʔpaḳ
1.44	stone, rock	ḳaʔ
1.45	earthquake	iʔloʁolnaʔlawa
1.51	sky	pigim
1.52	sun	raʔaasa
1.53	moon	širaigo
1.54	star	waḳahɲi
1.55	lightning	nḳaiʔlegaʁa
1.56	thunder	nalataʁa
1.57	lightning (as striking)	nḳaiʔlegaʁa
1.58	storm	nonotlodegaʁat
1.59	rainbow	ḳoɲiʔge
1.61	light (noun)	reʔoḳohlek
1.62	darkness	napalaʁa
1.63	shade, shadow	naʔal
1.64	dew	ʔyaʔ
1.71	air	nonot
1.72	wind	nonot
1.73	cloud	nawegelek
1.74	fog	neweʔ
1.75	rain (noun)	yaʁat
1.76	snow (noun)	loɲi
1.77	ice	loɲi
1.81	fire	norek
1.82	flame (noun)	lawaḳ
1.83	smoke (noun)	nesalaʁaʔ
1.84	ashes	lo
1.841	embers	poḳo
1.851	burn (vb trans)	yawigaʁat
1.852	burn (vb intrans)	yawik
1.86	light, kindle, ignite	nawigaʁatek
1.861	extinguish	yoʔmat
1.87	match (noun)	nowookalek
1.88	firewood	ḳoʔpaḳ
1.89	charcoal	poḳo
2.1	person, human being	ḳomleʔek
2.21	man (vs. woman)	yale
2.22	woman	ʔaalo
2.23	male	yale
2.24	female	ʔaalo
2.25	boy	noktokiʔ
2.251	young man (adolescent)	neʔnek
2.26	girl	noktoʔlʸiʔ
2.261	young woman (adolescent)	neketegaʁai
2.27	child	noktokiʔ
2.28	infant, baby	noktokiʔ
2.31	husband	lowa
2.32	wife	lowa
2.33	marry	ʔon
2.34	marriage, wedding	loʔnaʁak
2.35	father	letaʔa
2.36	mother	lateʔe
2.37	parents	letaʔal
2.41	son	lʸaalek
2.42	daughter	lʸaale
2.43	offspring (son or daughter)	lʸaalḳaipi
2.44	brother	lḳaya
2.444	older brother	lopiiči
2.445	younger brother	lanoḳ
2.45	sister	lḳaya
2.454	older sister	lopilete
2.455	younger sister	lanoʔo
2.456	sibling	lḳaya
2.458	twins	waaǰaʔ
2.46	grandfather	lapiʔ
