@classification: Sino-Tibetan,Tibeto-Burman,Himalayish,Tibeto-Kanauri,Tibetic,Tamangic
@iso: nmm
@language: Manangba
@size: 1028
@source: wold
@variety: std
1.1	world	tzomliŋ
1.21	earth, land	sʌ
1.213	dust	pʰɾa
1.214	mud	tela
1.215	sand	pjuma
1.22	mountain, hill	kaŋ
1.22	mountain, hill	pokto
1.22	mountain, hill	pʰra
1.222	cliff, precipice	pʰra
1.23	plain, field	kjuŋ
1.24	valley	ʃoŋ
1.25	island	kjamtsonaŋsʌliŋ
1.26	mainland	sʌtsʰe
1.27	shore	kjutsʰe
1.28	cave	u
1.31	water	kju
1.32	sea	samundra
1.324	foam	kjuatsaŋpʌmomu
1.33	lake	kjutsʰo
1.34	gulf, bay	kjamtsokʰʌ
1.352	tide	kjualoŋ
1.354	hightide	aloŋkʰʌ
1.36	river, stream, brook	maʃaŋkju
1.37	spring, well	inʌr
1.37	spring, well	kjumi
1.38	swamp	tsʰo
1.39	waterfall	kjutsʰara
1.41	woods, forest	nahuŋ
1.43	wood	ʃiŋ
1.44	stone, rock	juŋpepʰra
1.45	earthquake	suŋkul
1.51	sky	mo
1.52	sun	tiŋi
1.53	moon	liŋi
1.54	star	sʌɾ
1.55	lightning	tiplikʰʌ
1.56	thunder	moputulnjutsi
1.58	storm	labulkʰʌtsi
1.58	storm	motʌʃʌrju
1.59	rainbow	ʃʌ
1.61	light (noun)	toŋsolpʌ
1.62	darkness	monamomu
1.63	shade, shadow	kʰɾihʌ
1.64	dew	pʌmʌ
1.64	dew	toŋ
1.71	air	lapa
1.72	wind	lo
1.73	cloud	mukpʌ
1.74	fog	mukpʌ
1.75	rain (noun)	mo
1.76	snow (noun)	kʰiŋ
1.77	ice	tʌŋkjaŋ
1.78	weather	mewsʌm
1.81	fire	mje
1.82	flame (noun)	luŋmʌ
1.83	smoke (noun)	mjukju
1.84	ashes	mjepʰɾa
1.841	embers	ʃoŋto
1.851	burn (vb trans)	mjepʰu
1.852	burn (vb intrans)	mɾẽ
1.86	light, kindle, ignite	mjepʰu
1.861	extinguish	luŋmaapĩ
1.87	match (noun)	miʃʌr
1.88	firewood	ʃiŋ
1.89	charcoal	ʃoŋto
2.1	person, human being	mi
2.21	man (vs. woman)	pʰo
2.22	woman	mʷo
2.23	male	pʰo
2.24	female	mʷo
2.25	boy	atʃuŋ
2.251	young man (adolescent)	pjuŋ
2.26	girl	aŋje
2.261	young woman (adolescent)	mɾiŋ
2.27	child	kola
2.28	infant, baby	tsʌ
2.31	husband	pʰʌ
2.32	wife	pje
2.33	marry	tsaŋtsʰaŋ
2.34	marriage, wedding	tsaŋtsʰaŋpʌ
2.341	divorce	pʰrami
2.35	father	apʌ
2.36	mother	amʌ
2.37	parents	apʌamʌ
2.41	son	tsʌ
2.42	daughter	tsame
2.43	offspring (son or daughter)	kola
2.444	older brother	atʌ
2.445	younger brother	atʃuŋ
2.454	older sister	anʌ
2.455	younger sister	tʃampʌ
2.46	grandfather	akʰe
2.461	old man	aku
2.47	grandmother	mẽ
2.471	old woman	mẽkʰuju
2.48	grandson	kʷeme
2.49	granddaughter	kʷemi
2.511	mother's brother	aʃaŋ
2.512	father's brother	aptʰjʌpʌ
2.521	mother's sister	amtʰjʌpʌ
2.522	father's sister	aŋi
