@classification: Panoan,North-Central
@ids-name: Shipibo-Conibo_Phonemic
@iso: shp
@language: Shipibo-Conibo
@size: 1266
@source: ids
@variety: std
1.1	world	nɨtɨ
1.21	earth, land	mai
1.213	dust	poto
1.213	dust	maipoto
1.214	mud	čawati
1.215	sand	maši
1.22	mountain, hill	manã
1.22	mountain, hill	mato
1.22	mountain, hill	animanã
1.222	cliff, precipice	kɨto
1.23	plain, field	ṣ̌aβa
1.25	island	nasi
1.27	shore	maši
1.28	cave	kini
1.28	cave	manãkini
1.31	water	hɨnɨ
1.31	water	õpaṣ̌
1.31	water	na
1.31	water	nɨ
1.324	foam	βakoṣ̌
1.324	foam	βakoṣ̌ati
1.324	foam	makaš
1.329	ocean	aniparo
1.33	lake	iã
1.33	lake	hɨnɨ
1.341	lagoon	iã
1.341	lagoon	hɨnɨ
1.35	wave	βɨčõ
1.36	river, stream, brook	paro
1.36	river, stream, brook	wɨã
1.36	river, stream, brook	βai
1.362	whirlpool	samã
1.37	spring, well	čãtomari
1.39	waterfall	hɨnɨmaanai
1.41	woods, forest	maniš
1.41	woods, forest	βõko
1.41	woods, forest	nii
1.42	tree (cf 08.600)	hiwi
1.43	wood	hiwi
1.44	stone, rock	makã
1.44	stone, rock	maṣ̌aṣ̌
1.45	earthquake	niwã
1.51	sky	nai
1.52	sun	βari
1.53	moon	oṣ̌ɨ
1.54	star	wištĩ
1.55	lightning	kana
1.56	thunder	ririiti
1.56	thunder	tirĩiti
1.57	lightning (as striking)	kana
1.58	storm	niwɨɨwa
1.59	rainbow	čirapa
1.59	rainbow	nawãβai
1.61	light (noun)	tɨnati
1.61	light (noun)	tiriti
1.62	darkness	yamɨ
1.63	shade, shadow	ota
1.63	shade, shadow	βɨi
1.63	shade, shadow	kaya
1.63	shade, shadow	wɨa
1.64	dew	niβi
1.71	air	niwɨ
1.71	air	manaõ
1.72	wind	niwɨ
1.72	wind	niwɨaβa
1.72	wind	niwɨ̃ɨwa
1.73	cloud	koĩ
1.73	cloud	čoma
1.74	fog	wišnĩ
1.75	rain (noun)	oiβɨti
1.76	snow (noun)	oiṣ̌ɨwa
1.81	fire	čii
1.83	smoke (noun)	koĩ
1.83	smoke (noun)	čiikoĩ
1.84	ashes	čiimapo
1.841	embers	c̷isto
1.851	burn (vb trans)	mɨnoti
1.851	burn (vb trans)	mɨšoati
1.851	burn (vb trans)	tiriti
1.852	burn (vb intrans)	kɨtɨti
1.852	burn (vb intrans)	ṣ̌anati
1.852	burn (vb intrans)	tiriti
1.861	extinguish	nokaati
1.861	extinguish	nokati
1.88	firewood	karo
1.89	charcoal	c̷istɨ
2.1	person, human being	honi
2.21	man (vs. woman)	βɨ̃βo
2.22	woman	aĩβo
2.23	male	βɨ̃βo
2.23	male	βɨnɨ
2.25	boy	βakɨβɨ̃βo
2.25	boy	ranõ
2.251	young man (adolescent)	yosi
2.251	young man (adolescent)	βakɨranõ
2.26	girl	aĩβoβakɨ
2.26	girl	čiβa
2.26	girl	čimĩ
2.261	young woman (adolescent)	ṣ̌õtako
2.27	child	βakɨ
2.27	child	βakɨšoko
2.27	child	čiβa
2.28	infant, baby	βakɨšoko
2.31	husband	βɨnɨ
2.32	wife	awĩ
2.33	marry	wanoti
2.33	marry	βɨnoti
2.34	marriage, wedding	wanoti
2.35	father	papa
2.36	mother	tita
2.37	parents	aniβo
2.37	parents	rarɨβo
2.38	married man	βɨnoya
2.41	son	βakɨ
2.42	daughter	ini
2.43	offspring (son or daughter)	βakɨ
2.444	older brother	hoči
2.445	younger brother	čio
2.454	older sister	čipi
2.456	sibling	poi
2.46	grandfather	papayosi
2.46	grandfather	yosišoko
2.461	old man	yosi
2.47	grandmother	titayoṣ̌ã
2.471	old woman	yoṣ̌ã
2.471	old woman	ṣ̌ano
2.48	grandson	βaβa
2.49	granddaughter	βaβa
2.51	uncle	koka
2.51	uncle	epa
2.511	mother's brother	koka
2.52	aunt	waata
2.52	aunt	waa
2.52	aunt	yaya
2.52	aunt	nači
2.53	nephew	koko
2.54	niece	ini
2.54	niece	noṣ̌a
2.54	niece	pia
2.55	cousin	rãčo
2.55	cousin	hõčo
2.55	cousin	poi
2.56	ancestors	moaβo
2.56	ancestors	yosi
2.56	ancestors	rɨkɨ̃
2.61	father-in-law (of a man)	koka
2.61	father-in-law (of a man)	rayos
2.62	mother-in-law (of a man)	rayos
2.63	son-in-law (of a man)	rayos
2.64	daughter-in-law (of a man)	βaβãɨwa
2.71	stepfather	ɨpa
2.71	stepfather	onãpapa
2.72	stepmother	onãtita
2.73	stepson	noṣ̌a
2.74	stepdaughter	ini
2.75	orphan	kačiana
2.76	widow	βɨnomaataaĩβo
2.77	widower	kačiãti
2.81	relatives, kinsmen	kaiβo
2.91	I	ɨa
2.92	you (singular)	mia
2.93	he/she/it	ha
2.93	he/she/it	nato
2.94	we	no
2.94	we	noa
2.95	you (plural)	mato
2.96	they	hato
3.11	animal	yoina
3.21	bull	βɨnɨ
3.24	calf	βakɨ
3.29	lamb	βakɨ
3.5	fowl	isa
3.5	fowl	hawɨki
3.52	cock, rooster	atapa
3.52	cock, rooster	atapaβɨnɨ
3.54	hen	atapa
3.54	hen	atapaawĩ
3.55	chicken	atapa
3.57	duck	nonõ
3.58	nest	naa
3.581	bird	isa
3.582	seagull	awai
3.583	heron	mãṣ̌ã
3.585	hawk	tɨtɨ
3.586	vulture	ṣ̌ɨtɨ
3.591	bat	kaši
3.592	parrot	tomi
3.592	parrot	βawa
3.594	dove	noβɨṣ̌
3.594	dove	ṣ̌oto
3.596	owl	popo
3.61	dog	očiti
3.61	dog	hɨmaočiti
3.62	cat	mišito
3.63	mouse, rat	ṣ̌oya
3.63	mouse, rat	makaṣ̌oya
3.65	fish	yapa
3.65	fish	piti
3.652	fin (dorsal)	hĩpã
3.652	fin (dorsal)	kačã
3.652	fin (dorsal)	kãčã
3.653	fishscale	ṣ̌aka
3.653	fishscale	raṣ̌kã
3.655	shell	ṣ̌aka
3.664	stingray	iwi
3.665	freshwater eel	koni
3.665	freshwater eel	konĩɨwa
3.74	fox	maṣ̌o
3.75	deer	čaṣ̌o
3.76	monkey	šoni
3.77	elephant	irihãti
3.811	louse	ia
3.812	nit (louse egg)	iahɨṣ̌ɨ
3.813	flea	iki
3.814	centipede	ṣ̌ako
3.815	scorpion	niβo
3.817	ant	βona
3.818	spider	yotã
3.819	spider web	wasnõ
3.82	bee	βona
3.82	bee	ṣ̌ara
3.821	beeswax	βoi
3.822	beehive	βoyaβona
3.823	wasp	βina
3.83	fly	hošinaka
3.831	sandfly (midge), gnat	naka
3.831	sandfly (midge), gnat	sɨβɨ
3.832	mosquito	βii
3.84	worm	ṣ̌ɨna
3.84	worm	noĩ
3.85	snake	rono
3.91	firefly	kõkiš
3.91	firefly	poitɨrɨ
3.92	butterfly	pɨ̃pɨ̃
3.95	frog	tokoro
3.95	frog	toa
3.96	lizard	ṣ̌ãβo
3.96	lizard	kapɨ
3.97	crocodile, alligator	kapɨ
3.98	turtle	ṣ̌awɨ
4.11	body	yora
4.12	skin, hide	βiči
4.12	skin, hide	ṣ̌aka
4.13	flesh	nami
4.13	flesh	piti
4.14	hair (head)	βoo
4.14	hair (head)	βo
4.142	beard	kɨni
4.142	beard	kɨspo
4.142	beard	kɨnikɨni
4.144	body hair	rani
4.145	pubic hair	βošti
4.146	dandruff	matapo
4.15	blood	himi
4.151	vein, artery	pono
4.16	bone	ṣ̌ao
