@classification: Tupi,Tupi-Guarani,Subgroup II
@ids-name: Sirionó_Phonemic
@iso: srq
@language: Sirionó
@size: 1155
@source: ids
@variety: std
1.21	earth, land	ibi
1.21	earth, land	erekʷa
1.212	earth=ground, soil	ibi
1.213	dust	etuba
1.213	dust	ekui̯i̯
1.215	sand	i̯taki̯i̯šĩ̯
1.22	mountain, hill	ibiibate
1.23	plain, field	turukʸa
1.25	island	amahoõ
1.27	shore	eri'mei
1.27	shore	erimia
1.27	shore	eibi
1.28	cave	ekʷa
1.28	cave	eči̯mi̯tama
1.31	water	i
1.31	water	ama
1.324	foam	ehuu
1.324	foam	e'ri̯čoi̯
1.33	lake	amani̯ša
1.341	lagoon	amani̯ša
1.35	wave	erebera
1.35	wave	irebera
1.36	river, stream, brook	amã
1.37	spring, well	tororoma
1.37	spring, well	yeẽ
1.38	swamp	amanakʷa
1.38	swamp	eakʷa
1.38	swamp	eriekʷa
1.41	woods, forest	kiaarĩ̯
1.41	woods, forest	ɲana
1.42	tree (cf 08.600)	ira
1.43	wood	ira
1.44	stone, rock	si̯ta
1.44	stone, rock	hi̯ta
1.44	stone, rock	i̯ta
1.51	sky	ibei
1.52	sun	tena
1.53	moon	ɲasi
1.54	star	ɲasitata
1.55	lightning	pi̯ri̯rãpi̯ri̯rãi̯
1.56	thunder	si̯eu
1.57	lightning (as striking)	ama
1.59	rainbow	ibeiasa
1.61	light (noun)	tata
1.61	light (noun)	erata
1.62	darkness	pãi̯
1.62	darkness	itoneru
1.63	shade, shadow	eriseĩ
1.64	dew	i'sei
1.71	air	eitu
1.72	wind	ki̯ri̯ri̯ã
1.73	cloud	ibeišĩ
1.74	fog	si̯mo
1.75	rain (noun)	ama
1.75	rain (noun)	ɲaaki
1.78	weather	amamose
1.78	weather	tenamose
1.81	fire	tata
1.81	fire	erata
1.83	smoke (noun)	tatašĩ
1.84	ashes	tataba
1.84	ashes	ekusubu
1.841	embers	tatare'tei̯
1.841	embers	taasi
1.851	burn (vb trans)	mẽni
1.851	burn (vb trans)	mučuuta
1.851	burn (vb trans)	uča
1.852	burn (vb intrans)	seni
1.852	burn (vb intrans)	ɲuuta
1.86	light, kindle, ignite	sei̯
1.86	light, kindle, ignite	meni
1.86	light, kindle, ignite	tesae
1.861	extinguish	muŋe
1.861	extinguish	uke
1.87	match (noun)	tata
1.88	firewood	ɲea
1.89	charcoal	ere'teĩ̯ta'teĩ̯
2.1	person, human being	mia
2.1	person, human being	abamo
2.1	person, human being	emo
2.21	man (vs. woman)	erãkʷẽ
2.22	woman	kuɲa
2.22	woman	erẽĩ
2.23	male	ekimae
2.23	male	eramei̯
2.23	male	erakoĩ̯
2.24	female	esi
2.24	female	ekʸã
2.24	female	ari
2.24	female	ereĩ̯
2.25	boy	ečo
2.25	boy	akẽ
2.251	young man (adolescent)	akʷani̯nu
2.26	girl	akʷani̯
2.26	girl	ɲukaake
2.26	girl	akẽ
2.261	young woman (adolescent)	ɲukʷaake
2.27	child	ei̯tãkeĩ
2.27	child	kiã
2.27	child	ekiã
2.28	infant, baby	eitãkẽĩ
2.31	husband	eru
2.32	wife	enĩnĩsi
2.32	wife	kuɲa
2.32	wife	ememi
2.35	father	paba
2.35	father	eru
2.35	father	ŋu
2.36	mother	tãĩ
2.36	mother	esi
2.41	son	eriirĩ
2.41	son	erukuča
2.42	daughter	eriirĩ
2.42	daughter	erukuča
2.44	brother	ŋõŋe
2.444	older brother	erikii
2.445	younger brother	eribi
2.45	sister	enoŋe
2.458	twins	eata
2.46	grandfather	ãmẽĩ̯
2.46	grandfather	erãmẽĩ̯
2.461	old man	erekʷayã
2.461	old man	amẽĩ̯
2.47	grandmother	ari
2.47	grandmother	ečari
2.471	old woman	erekʷayã
2.471	old woman	ari
2.48	grandson	erukučariirĩ
2.51	uncle	paba
2.51	uncle	erunoŋe
2.52	aunt	taĩ
2.52	aunt	esinoŋe
2.53	nephew	eriirĩ
2.53	nephew	enoŋeriirĩ
2.61	father-in-law (of a man)	enoŋeru
2.611	father-in-law (of a woman)	eramei̯
2.611	father-in-law (of a woman)	amei̯
2.62	mother-in-law (of a man)	enoŋeninisi
2.621	mother-in-law (of a woman)	ari
2.621	mother-in-law (of a woman)	ečari
2.63	son-in-law (of a man)	akʷani̯nu
2.75	orphan	esiči̯eča
2.75	orphan	eruči̯eča
2.76	widow	eruči̯eča
2.77	widower	eninisiči̯eča
2.77	widower	ɲeseohe
2.81	relatives, kinsmen	enoŋe
2.81	relatives, kinsmen	eresena
2.91	I	se
2.92	you (singular)	ne
2.93	he/she/it	ae
2.941	we (inclusive)	nane
2.942	we (exclusive)	ure
2.95	you (plural)	hẽ
2.96	they	ae
2.96	they	ukĩ̯
2.96	they	ũkĩ̯
3.2	cattle (bovine)	tikʷasu
3.22	ox	tikʷasu
3.22	ox	tikʷasuramašĩ̯
3.23	cow	tikʷasu
3.35	pig	teasu
3.35	pig	čeasusokoi̯he
3.36	goat	kiikʷãmuae
3.41	horse (equine)	tikʷasu
3.52	cock, rooster	ŋiranu
3.54	hen	ŋira
3.57	duck	yei
3.58	nest	ekisa
3.58	nest	erua
3.581	bird	ŋireĩ̯
3.583	heron	ŋari̯šĩ
3.584	eagle	ŋirari̯ša
3.585	hawk	ŋira
3.586	vulture	urubu
3.591	bat	mui̯
3.591	bat	mui̯rusu
3.592	parrot	ɲuru
3.592	parrot	si̯
3.593	crow	miŋa
3.593	crow	tebee
3.594	dove	ɲurusi̯
3.594	dove	ɲurusi̯kʷasu
3.596	owl	ɲekerea
3.61	dog	ɲakʷa
3.61	dog	ɲaoɲao
3.614	rabbit	či̯i̯ši̯
3.614	rabbit	ti̯i̯si̯
3.614	rabbit	sikʸičakʷasu
3.62	cat	ɲakʷa
3.63	mouse, rat	sikiča
3.63	mouse, rat	ɲaaši̯
3.65	fish	si̯ra
3.65	fish	hi̯ra
3.652	fin (dorsal)	eɨ̃ye
3.653	fishscale	si̯raeke
3.653	fishscale	eeke
3.653	fishscale	si̯rakiišĩ
3.654	gill	etukʷayo
3.655	shell	i̯tã
3.655	shell	hi̯tã
3.664	stingray	hi̯rae
3.664	stingray	si̯rae
3.665	freshwater eel	musu
3.665	freshwater eel	sarao
3.72	lion	ɲakʷai̯reĩ̯he
3.74	fox	eoita
3.75	deer	kiikʷã
3.75	deer	kiikʷãnusu
3.76	monkey	eruba
3.811	louse	ki
3.811	louse	eki
3.813	flea	eki
3.813	flea	ki
3.814	centipede	mua
3.815	scorpion	kiraẽ
3.816	cockroach	tatu
3.817	ant	tasi
3.817	ant	toi
3.818	spider	ɲunusi̯
3.819	spider web	ɲunusi̯kisa
3.82	bee	iraonu
3.821	beeswax	iraori̯mitã
3.821	beeswax	ti̯mitã
3.822	beehive	iraoritu
3.823	wasp	kia
3.823	wasp	amaŋia
