@classification: Uralic,Permian
@ids-name: Udmurt_Phonemic
@iso: udm
@language: Udmurt
@size: 1490
@source: ids
@variety: std
1.1	world	dunʸnʸe
1.21	earth, land	muzyem
1.212	earth=ground, soil	muzyem
1.212	earth=ground, soil	sʸuy
1.213	dust	tuzon
1.214	mud	der̃i
1.214	mud	nëd
1.215	sand	luo
1.22	mountain, hill	gur̃ezʸ
1.222	cliff, precipice	mečyar̃
1.23	plain, field	busɩ
1.23	plain, field	lud
1.24	valley	nʸožal
1.24	valley	layɩg
1.25	island	šor̃muč
1.26	mainland	matʸer̃ik
1.27	shore	yar̃dur̃
1.28	cave	pešʸer̃a
1.31	water	vu
1.32	sea	zar̃ezʸ
1.322	calm (of sea)	štʸilʸ
1.323	rough (of sea)	šukɩr̃yasʸkisʸ
1.323	rough (of sea)	kuašetisʸ
1.324	foam	šukɩ
1.329	ocean	okean
1.33	lake	tɩ
1.34	gulf, bay	zalʸiv
1.341	lagoon	laguna
1.342	reef	r̃if
1.342	reef	vuulɩsʸskala
1.343	headland, point	mukož
1.343	headland, point	munɩr̃
1.35	wave	tulkɩm
1.36	river, stream, brook	šur̃
1.362	whirlpool	vuber̃gan
1.37	spring, well	ošmes
1.38	swamp	nʸur̃
1.38	swamp	kud
1.39	waterfall	vuusʸon
1.41	woods, forest	nʸules
1.41	woods, forest	telʸ
1.42	tree (cf 08.600)	pispu
1.43	wood	lesʸtisʸkonpu
1.44	stone, rock	iz
1.45	earthquake	muzyemzur̃kan
1.51	sky	in
1.51	sky	inbam
1.52	sun	šundɩ
1.53	moon	tolezʸ
1.54	star	kizʸilʸi
1.55	lightning	c̷ʸilʸektem
1.56	thunder	gudɩr̃i
1.57	lightning (as striking)	c̷ʸilʸektem
1.58	storm	sʸilʸtël
1.59	rainbow	vuyuisʸ
1.61	light (noun)	yugɩt
1.62	darkness	peymɩt
1.63	shade, shadow	vužer̃
1.63	shade, shadow	say
1.63	shade, shadow	sayul
1.64	dew	lɩsvu
1.71	air	omɩr̃
1.72	wind	tël
1.73	cloud	pilʸem
1.74	fog	bus
1.75	rain (noun)	zor̃
1.76	snow (noun)	lɩmɩ
1.77	ice	yë
1.78	weather	kuazʸ
1.81	fire	tɩl
1.82	flame (noun)	tɩlomɩr̃
1.83	smoke (noun)	čɩn
1.84	ashes	penʸ
1.841	embers	ǰu
1.851	burn (vb trans)	ǰuatɩnɩ
1.851	burn (vb trans)	sutɩnɩ
1.852	burn (vb intrans)	ǰuanɩ
1.86	light, kindle, ignite	ǰuatɩnɩ
1.861	extinguish	kɩsɩnɩ
1.87	match (noun)	šɩr̃pu
1.88	firewood	pu
1.89	charcoal	puegɩr̃
2.1	person, human being	adʸami
2.21	man (vs. woman)	piosmur̃t
2.21	man (vs. woman)	vor̃gor̃on
2.22	woman	nɩlkɩšno
2.22	woman	kɩšnomur̃t
2.23	male	piosmur̃t
2.23	male	vor̃gor̃on
2.24	female	nɩlkɩšno
2.24	female	kɩšnomur̃t
2.25	boy	pi
2.25	boy	piyaš
2.251	young man (adolescent)	yegitpi
2.251	young man (adolescent)	yegitpiyaš
2.26	girl	nɩl
2.26	girl	nɩlaš
2.261	young woman (adolescent)	yegitnɩl
2.261	young woman (adolescent)	yegitnɩlaš
2.27	child	pinal
2.27	child	nɩlpi
2.28	infant, baby	nunɩ
2.28	infant, baby	pic̷ʸipinal
2.31	husband	kar̃t
2.31	husband	kuzpal
2.32	wife	kɩšno
2.32	wife	kuzpal
2.33	marry	kɩšnoyasʸkɩnɩ
2.34	marriage, wedding	sʸuan
2.34	marriage, wedding	kɩšnoyasʸkon
2.341	divorce	lʸukisʸkon
2.35	father	atay
2.35	father	ayɩ
2.36	mother	anay
2.36	mother	nene
2.36	mother	mumɩ
2.37	parents	anayatay
2.37	parents	mumɩayɩ
2.38	married man	kɩšnoyasʸkemɩn
2.39	married woman	bɩzʸemɩn
2.39	married woman	kar̃ten
2.41	son	pi
2.42	daughter	nɩl
2.43	offspring (son or daughter)	vɩžɩ
2.44	brother	vɩn
2.44	brother	agay
2.444	older brother	agay
2.444	older brother	nʸunʸa
2.445	younger brother	vɩn
2.45	sister	suzer̃
2.45	sister	apay
2.454	older sister	apay
2.455	younger sister	suzer̃
2.458	twins	kɩktoos
2.46	grandfather	pesʸatay
2.461	old man	per̃esʸ
2.47	grandmother	pesʸanay
2.471	old woman	per̃esʸkɩšnomur̃t
2.48	grandson	nɩlɩzlenpiyez
2.48	grandson	piyezlenpiyez
2.49	granddaughter	nɩlɩzlennɩlɩz
2.49	granddaughter	piyezlennɩlɩz
2.51	uncle	agay
2.511	mother's brother	agay
2.512	father's brother	agay
2.52	aunt	apay
2.521	mother's sister	čužapay
2.522	father's sister	apay
2.53	nephew	apaylenpiyez
2.54	niece	apaylennɩlɩz
2.55	cousin	čužodig
2.56	ancestors	vaškalaos
2.57	descendants	nɩlpios
2.57	descendants	pinalyos
2.61	father-in-law (of a man)	ayɩmur̃t
2.61	father-in-law (of a man)	var̃may
2.611	father-in-law (of a woman)	var̃may
2.62	mother-in-law (of a man)	anayzɩ
2.62	mother-in-law (of a man)	nenezɩ
2.621	mother-in-law (of a woman)	var̃mumɩ
2.63	son-in-law (of a man)	emespi
2.631	son-in-law (of a woman)	emespi
2.64	daughter-in-law (of a man)	ken
2.641	daughter-in-law (of a woman)	ken
2.71	stepfather	sʸur̃atay
2.72	stepmother	sʸur̃anay
2.73	stepson	sʸur̃pi
2.74	stepdaughter	sʸur̃nɩl
2.75	orphan	mumɩtemayɩtem
2.76	widow	palkɩlʸemkɩšnomur̃t
2.77	widower	palkɩlʸempiosmur̃t
2.81	relatives, kinsmen	čɩžɩvɩžɩ
2.82	family	sʸemya
2.91	I	mon
2.92	you (singular)	ton
2.93	he/she/it	so
2.94	we	mi
2.941	we (inclusive)	asʸmeos
2.942	we (exclusive)	asʸmeos
2.95	you (plural)	ti
2.96	they	soos
3.11	animal	pudo
3.11	animal	pudoživot
3.12	male (adj)	ayɩ
3.12	male (adj)	pi
3.13	female (adj)	mumɩ
3.13	female (adj)	mes
3.15	livestock	pudo
3.16	pasture	vozʸvɩl
3.16	pasture	životsʸisʸkonintɩ
3.18	herdsman	pudovozʸmasʸ
3.19	stable, stall	gid
3.2	cattle (bovine)	pudo
3.2	cattle (bovine)	pudoživot
3.21	bull	oš
3.22	ox	vol
3.23	cow	skal
3.24	calf	kunʸan
3.25	sheep	ɩž
3.25	sheep	taka
3.26	ram	taka
3.28	ewe	ɩž
3.29	lamb	ɩžpi
3.32	boar	ayɩpar̃sʸ
3.34	sow	par̃sʸ
3.35	pig	par̃sʸpi
3.36	goat	kuakecʸ
3.37	he-goat	kec̷ʸtaka
3.38	kid	kec̷ʸpi
3.41	horse (equine)	val
3.42	stallion	užpi
3.44	mare	er̃val
3.44	mare	kobla
3.45	foal, colt	c̷ʸunʸɩ
3.46	ass, donkey	išak
3.46	ass, donkey	osʸol
3.47	mule	mul
3.5	fowl	gur̃ttɩlobur̃do
3.52	cock, rooster	atas
3.54	hen	kur̃eg
3.55	chicken	c̷ʸipɩ
3.56	goose	ǰʸazʸeg
3.57	duck	čëž
3.58	nest	kar̃
3.581	bird	tɩlobur̃do
3.582	seagull	c̷ʸayka
3.583	heron	vanʸem
3.584	eagle	ër̃ǰi
3.585	hawk	dušes
3.585	hawk	pelʸo
3.586	vulture	sʸësʸër̃ǰi
3.591	bat	ur̃tkɩč
3.592	parrot	ber̃enes
3.593	crow	kuaka
3.594	dove	dɩdɩk
3.596	owl	kuc̷ʸɩr̃an
3.596	owl	uysɩ
3.61	dog	punɩ
3.614	rabbit	kuc̷ʸapi
3.614	rabbit	punɩpi
3.62	cat	kočɩš
3.62	cat	pisʸay
3.622	opossum	komak
3.63	mouse, rat	šɩr̃
3.65	fish	c̷ʸor̃ɩg
3.652	fin (dorsal)	uyanbur̃d
3.653	fishscale	c̷ʸor̃ɩgsʸëm
3.654	gill	šakasyos
3.655	shell	kualʸem
3.661	shark	akula
3.662	porpoise, dolphin	dʸelʸfin
3.663	whale	kit
3.71	wolf	kion
3.72	lion	lʸev
3.73	bear	gondɩr̃
3.74	fox	ǰʸic̷ʸɩ
3.75	deer	pužey
3.76	monkey	obezʸyan
3.77	elephant	slon
3.78	camel	ver̃blʸud
3.81	insect	nɩmɩkibɩ
3.811	louse	tey
3.812	nit (louse egg)	sʸer̃el
3.813	flea	pɩč
3.814	centipede	gononɩmɩr̃
3.815	scorpion	skor̃pion
3.816	cockroach	tar̃akan
3.817	ant	kuzʸɩlʸi
3.818	spider	c̷ʸonar̃i
3.819	spider web	c̷ʸonar̃ivotes
3.82	bee	muš
3.821	beeswax	sʸusʸ
3.822	beehive	mušumor̃to
3.823	wasp	dur̃inc̷ʸi
3.83	fly	kut
3.831	sandfly (midge), gnat	c̷ʸibinʸ
3.831	sandfly (midge), gnat	nɩmɩ
3.832	mosquito	moskit
3.84	worm	numɩr̃
3.85	snake	kɩy
3.91	firefly	ǰuasʸnumɩr̃
3.92	butterfly	bubɩlʸi
3.93	grasshopper	ǰʸoz
3.94	snail	kualʸalʸulʸɩ
3.95	frog	ebek
3.95	frog	baka
3.96	lizard	kenǰʸalʸi
3.97	crocodile, alligator	kr̃okodʸil
3.98	turtle	c̷ʸer̃epaxa
4.11	body	mugor̃
4.11	body	vɩltɩr̃
4.12	skin, hide	ku
4.13	flesh	silʸ
4.14	hair (head)	yɩr̃sʸi
4.142	beard	tuš
4.144	body hair	vɩltɩr̃gon
4.145	pubic hair	edɩnʸgon
4.146	dandruff	kilʸ
4.15	blood	vir̃
4.151	vein, artery	vir̃ser̃
4.16	bone	lɩ
4.162	rib	ur̃d
4.162	rib	ur̃dlɩ
4.17	horn	sʸur̃
4.18	tail	bɩž
4.19	back	tɩbɩr̃
4.19	back	mɩš
4.191	spine	sʸur̃lɩ
4.2	head	yɩr̃
4.201	side of head, temple	pelʸdor̃
4.202	skull	yɩr̃kobɩ
4.203	brain	vim
4.204	face	imnɩr̃
4.205	forehead	kɩmes
4.207	jaw	an
4.207	jaw	anlɩ
4.208	cheek	bam
4.209	chin	anges
4.21	eye	sʸin
4.212	eyebrow	sʸinkač
4.213	eyelid	sʸinkabak
4.214	eyelash	sʸinlɩs
4.215	blink	kɩnʸɩr̃yanɩ
4.215	blink	kɩr̃mɩšyanɩ
4.22	ear	pelʸ
4.221	earlobe	pelʸnʸebɩt
4.222	earwax	pelʸsʸir̃
4.23	nose	nɩr̃
4.231	nostril	nɩr̃pelʸes
4.232	mucus (nasal)	zɩr̃ɩm
4.24	mouth	ɩm
4.241	beak	nɩr̃
4.241	beak	tɩlobur̃donɩr̃
4.25	lip	ɩmdur̃
4.26	tongue	kɩl
4.27	tooth	pinʸ
4.271	gums	pinʸsilʸ
4.272	molartooth	yɩr̃pinʸ
4.28	neck	c̷ʸɩr̃tɩ
4.281	nape of neck	yɩr̃ber̃
4.281	nape of neck	yɩr̃tɩš
4.29	throat	gulʸɩm
4.29	throat	nʸɩlon
4.3	shoulder	pelʸpum
4.301	shoulderblade	punʸɩlɩ
4.302	collarbone	kar̃nanlɩ
4.31	arm	suy
