@classification: Arawakan,Maipuran,Northern Maipuran,Inland
@ids-name: Yavitero_Phonemic
@iso: yvt
@language: Yavitero
@size: 713
@source: ids
@variety: std
1.1	world	eɲahiľ̥i
1.21	earth, land	ka'hac̷i
1.213	dust	ha'ľic̷i
1.214	mud	yaini
1.215	sand	ka'hac̷ina
1.22	mountain, hill	yaha
1.222	cliff, precipice	ewi
1.23	plain, field	ma'tehuľi
1.25	island	ka'dunuľi
1.28	cave	ha'niľ̥i
1.31	water	weni
1.324	foam	kawi
1.35	wave	si'ľuľitami
1.36	river, stream, brook	weni
1.362	whirlpool	si'ľuľitami
1.39	waterfall	numakadeweni
1.41	woods, forest	awac̷i
1.42	tree (cf 08.600)	ata
1.43	wood	ata
1.44	stone, rock	siha
1.51	sky	enu
1.52	sun	ka'muľ̥i
1.53	moon	keľi
1.54	star	wiwinaľi
1.56	thunder	iyeenu
1.57	lightning (as striking)	iyeenu
1.59	rainbow	be'ľ̥uľi
1.61	light (noun)	kamunahal̥i
1.62	darkness	ma'ľ̥etehi
1.63	shade, shadow	nekami
1.71	air	u'wic̷i
1.72	wind	u'wic̷i
1.73	cloud	ľ̥i'aľiľienu
1.75	rain (noun)	hawa
1.78	weather	eɲahiľ̥i
1.81	fire	kaľ̥i
1.83	smoke (noun)	ľ̥i'aľi
1.83	smoke (noun)	ľ̥i'aľiľi
1.84	ashes	ha'ľic̷i
1.841	embers	kaľ̥ihuľisi
1.851	burn (vb trans)	kaha
1.852	burn (vb intrans)	hukua
1.86	light, kindle, ignite	yuteta
1.861	extinguish	mawata
1.88	firewood	kaľ̥i
1.89	charcoal	ľ̥e'remaľi
2.1	person, human being	ka'mewa
2.21	man (vs. woman)	enami
2.22	woman	ľ̥a'ľinemi
2.23	male	yuwinaha
2.24	female	yuwisi
2.25	boy	maľ̥iani
2.251	young man (adolescent)	maľ̥iani
2.27	child	ľ̥ihani
2.28	infant, baby	ke'taľ̥i
2.31	husband	tani
2.32	wife	hiľ̥u
2.35	father	ihi
2.36	mother	iľ̥uami
2.37	parents	siwani
2.38	married man	ka'hiľ̥udaľu
2.39	married woman	ka'tanidaľu
2.41	son	taintani
2.42	daughter	tanimi
2.44	brother	ic̷inaha
2.45	sister	ľ̥inianaha
2.456	sibling	dede
2.46	grandfather	tusimi
2.461	old man	katenehumi
2.47	grandmother	siyumi
2.471	old woman	katiahumi
2.51	uncle	iku
2.52	aunt	ľ̥uteya
2.53	nephew	tanihinaľi
2.54	niece	tanihinaľi
2.61	father-in-law (of a man)	matusi
2.611	father-in-law (of a woman)	matusi
2.62	mother-in-law (of a man)	masiu
2.621	mother-in-law (of a woman)	masiu
2.63	son-in-law (of a man)	yanihi
2.64	daughter-in-law (of a man)	yanihiľ̥u
2.73	stepson	tawinakuľe
2.81	relatives, kinsmen	haľ̥uhemi
2.82	family	haľ̥uhemi
2.91	I	nuyaha
2.92	you (singular)	hiyaha
2.93	he/she/it	anihi
2.94	we	wayaha
2.95	you (plural)	niyaha
2.96	they	anini
3.11	animal	niľ̥i
3.16	pasture	yewaľi
3.52	cock, rooster	ku'ame
3.54	hen	ku'ame
3.55	chicken	ku'amesani
3.58	nest	hananiľ̥i
3.581	bird	niľ̥i
3.583	heron	maľi
3.583	heron	a'ľahuľi
3.585	hawk	ku'kuwi
3.591	bat	wayu
3.592	parrot	ku'ľikuľi
3.594	dove	c̷uc̷ubu
3.596	owl	ma'kuku
3.61	dog	ku'aiľ̥i
3.63	mouse, rat	a'ľamuľu
3.65	fish	simasi
3.652	fin (dorsal)	ne
3.654	gill	aľawataľe
3.664	stingray	ya'hiwe
3.665	freshwater eel	c̷ihuľi
3.75	deer	ma'tahiyu
3.813	flea	c̷u'ida
3.815	scorpion	c̷ec̷e
3.816	cockroach	ku'maľaľa
3.817	ant	ka'wihic̷u
3.818	spider	uľu
3.819	spider web	hana'uľu
3.82	bee	maha
3.821	beeswax	mahac̷ia
3.823	wasp	ani
3.83	fly	hu'ľec̷iľu
3.831	sandfly (midge), gnat	kawiyu
3.832	mosquito	ma'hiti
3.84	worm	kenika'hac̷i
3.85	snake	u'meni
3.92	butterfly	kahuľi
3.95	frog	tu'kutua
3.96	lizard	ku'itu
3.98	turtle	mata'matu
4.11	body	minanaha
4.12	skin, hide	itamaka
4.14	hair (head)	mau
4.142	beard	ľ̥anuma
4.144	body hair	ic̷u
4.145	pubic hair	ľ̥aľiu
4.15	blood	miyani
4.151	vein, artery	demuhiaľe
4.16	bone	ihiu
4.162	rib	hatahe
4.17	horn	kac̷u
4.18	tail	hiľ̥i
4.19	back	tuľi
4.191	spine	tuľiahi
4.2	head	sihu
4.202	skull	ihiusihu
4.203	brain	keľ̥ua
4.204	face	hunaha
4.205	forehead	tasisi
4.208	cheek	kaku
4.21	eye	huľisi
4.212	eyebrow	dawiľ̥a
4.213	eyelid	itamakahuľisi
4.214	eyelash	huľ̥aľawite
4.215	blink	mahuľisita
4.22	ear	tasine
4.23	nose	siwi
4.231	nostril	huľisisiwi
4.232	mucus (nasal)	munduľ̥iaľe
4.24	mouth	numa
4.241	beak	siwi
4.25	lip	tuľehi
4.26	tongue	tate
4.27	tooth	eľ̥i
4.271	gums	mic̷ieľ̥i
4.272	molartooth	kuwaľ̥e
4.28	neck	inu
4.281	nape of neck	tusiwa
4.29	throat	kanasi
4.3	shoulder	kuľuhasi
4.301	shoulderblade	ihiu
4.302	collarbone	bu'anaľe
4.31	arm	kanu
4.312	armpit	tanaye
4.32	elbow	tukunaľe
4.321	wrist	c̷ate
4.33	hand	kahahi
4.331	palm of hand	ku'ekahahi
4.34	finger	kahahi
4.344	fingernail	c̷uľawi
4.345	claw	c̷uľawi
4.35	leg	kuc̷u
4.351	thigh	kuc̷u
4.352	calf of leg	kawa
4.36	knee	situ
4.37	foot	c̷ic̷i
4.372	heel	kuľuhasi
4.374	footprint	ehunahami
4.38	toe	c̷ic̷i
4.392	wing	tanahasi
4.393	feather	ic̷u
4.4	chest	tuc̷i
4.41	breast (of woman)	c̷ini
4.42	udder	c̷ini
4.43	navel	munde
4.44	heart	huwite
4.45	liver	hane
4.46	stomach	huwite
4.461	intestines, guts	c̷i'ahi
4.462	waist	kenani
4.463	hip	gud͜zabaľe
4.464	buttocks	naita
4.49	testicle	inesi
4.492	penis	isi
4.51	breathe, breath	c̷uha
4.52	yawn, gape	hahahata
4.53	cough	ľ̥ukumaha
4.54	sneeze	hac̷iuta
4.55	perspire	haľ̥ata
4.56	spit	kuma
4.57	vomit	tesia
4.58	bite	tata
4.59	lick	yuta
4.61	sleep	c̷ima
4.612	snore	dara
4.62	dream	tahuni
4.63	wake up	kawihata
4.64	break wind	hama
4.64	break wind	heya
4.65	urinate	teya
4.66	defecate	ya
4.67	have sexual intercourse	yuwi
4.67	have sexual intercourse	wehasi
4.68	shiver	hihia
4.69	bathe	kawa
4.72	born (to be)	hic̷ika
4.73	pregnant	ka'tuhuyu
4.74	live, living, life	hac̷ika
4.75	die, dead	wiyua
4.76	kill	ma
4.77	corpse	wi'nanaľ̥i
4.78	bury (the dead)	hihita
4.79	grave, tomb	hihitakade
4.81	strong, mighty, powerful	si'upahi
4.82	weak	hatasi'upahi
4.83	well, health	yunihi
4.84	sick, sickness	ma'ľ̥ikaľi
4.841	fever	huľ̥imi
4.843	cold (catarrh)	ma'tuc̷i
4.85	wound, sore	c̷anaha
4.852	bruise	wauľana
4.853	swelling	hata
4.855	blister	bumba
4.858	scar	ehunahami
4.86	cure, heal	hinahata
4.87	physician	hi'nahataľi
4.88	medicine, drug	hinahaľ̥i
4.89	poison	wiyu'aľi
4.91	tired, weary	teľekahi
4.912	rest	yeľ̥a
4.92	lazy	me'hehihi
4.93	bald	ka'budane
4.94	lame	heľ̥uhi
4.95	deaf	d͜zewihi
4.97	blind	mebuhi
4.98	intoxicated	kamahi
4.99	naked, bare	wa'ľaľahi
5.11	eat	eɲa
5.11	eat	na
5.12	food	ahic̷iľ̥i
5.122	raw	mi'yanihi
5.123	ripe	sitami
5.124	green, unripe	heminihi
5.125	rotten	weteheta
5.13	drink	ľ̥iya
5.14	hunger	ma'waľi
5.15	thirst	ma'kaľeľ̥i
5.16	suck	ľ̥iya
5.18	chew	ľ̥amua
5.181	swallow	kutusita
5.21	cook	hahua
5.22	boil (vb)	hahua
5.23	roast, fry	hateta
5.23	roast, fry	tema
5.24	bake	tema
5.26	pot, cooking vessel	aniuľ̥i
5.31	dish	aniuľ̥i
5.34	pitcher, jug	wanana
5.35	cup, drinking vessel	ma'huwa
5.47	sieve, strain	c̷u'ayuta
5.48	scrape	c̷aluka
5.49	stir, mix	waľ̥ata
5.51	bread	a'husi
5.53	dough	iheľ̥i
5.54	knead	c̷ukuta
5.55	meal, flour	ľ̥i'weľ̥i
5.56	crush, grind	muluka
5.59	pestle	wi'yaľ̥i
5.61	meat	mic̷i
5.64	soup, broth	iha
5.65	vegetables	atasi
5.66	bean	ku'mana
5.71	fruit	atasi
5.791	grease, fat	mungu
5.791	grease, fat	c̷ita
5.81	salt	yu'kira
5.821	chili pepper	a'c̷ic̷i
5.84	honey	ihamaha
5.87	milk (vb)	tahiha
5.94	fermented drink	ya'ľaki
5.97	egg	inesinaha
6.11	put on (clothes)	haľakawa
6.12	clothing, clothes	nawa
6.29	leather	itamaka
6.35	sew	huc̷uka
6.36	needle	awi
6.36	needle	hawi
6.46	skirt	nawa
6.55	hat, cap	c̷a'hewa
6.62	button	a
6.71	ornament, adornment	waľiha
6.91	comb	'wiľ̥a
6.921	braid	c̷imanaha
6.96	mirror	yahu
7.12	house	hana
7.12	house	huwi
7.17	cookhouse	hahuakade
7.22	door, gate	ha'niľ̥ihuľisi
7.25	window	ha'niľ̥ihuľisi
7.26	floor	hunahaha'niľ̥i
7.27	wall	yaini
7.43	chair	ta
7.45	lamp, torch	kaľ̥ihuľisi
7.51	roof	hu'nec̷i
7.55	beam	bu'anaľe
7.56	post, pole	ma'ľ̥aha
8.11	farmer	minaľimi'yuľi
8.15	cultivate, till	watuta
8.22	dig	hanaka'hac̷i
8.311	seed	isinaha
8.41	crop, harvest	c̷unuha
8.42	grain (barley, oats etc)	ľ̥ina
8.42	grain (barley, oats etc)	mulusi
8.47	maize, corn	kana
8.51	grass	yewaľi
8.52	hay	yewaľi
8.531	plant (vb)	watuta
8.54	root	iwinaha
8.55	branch	kanuata
8.56	leaf	hasi
8.6	tree	ata
8.68	tobacco	yema
8.69	smoke (tobacco)	kainta
8.73	tree trunk	kuluhasi
8.75	bark	ka'muľ̥ita
8.76	sap	kaľ̥iata
8.81	palm tree	hu'nec̷i
8.91	sweet potato	eľu
8.91	sweet potato	ba'tata
8.912	yam	biľina
8.92	tapioca, manioc, cassava	kaľ̥esi
8.93	gourd	ku'asi
8.931	pumpkin, squash	u'wiyama
8.941	sugar cane	min'deľe
9.11	do, make	ma
9.12	work	hatata
9.15	fold	yuwaka
9.16	tie, bind	kaľita
9.161	untie	kuhahi
9.19	rope, cord	c̷imanaha
9.192	knot (noun)	kubuľe
9.21	strike (hit, beat)	dac̷ika
9.211	pound with fist	miyahi
9.22	cut	c̷i'uka
9.221	cut down	yuta
9.222	chop, hew	kec̷uaihewa
9.223	stab	maľ̥ika
9.25	ax	c̷uwa
9.26	break	hec̷uka
9.27	split	huľeta
9.28	tear	berika
9.29	flay, skin	tamaka
9.31	rub, wipe	keyuka
9.32	stretch	muta
9.34	spread out	hu'ata
9.341	hang up	ľ̥amatata
9.342	press	yakutata
9.343	squeeze, wring	kenahi
9.36	wash	hiha
9.37	sweep	kaha
9.38	broom	ka'hamiaľ̥i
9.44	build	ma
9.46	bore	keľia'hutukata
9.56	glue	yatata
9.73	clay	yaini
9.75	weave, plait	naha
9.79	fan (noun)	mahu'ita
9.791	fan (vb)	huwita
9.88	paint (noun)	ľ̥ehenahami
9.89	paint (vb)	yanata
10.11	move	mutata
10.12	turn over	budeketa
10.14	wind, wrap	buhuteta
10.15	roll	hiľika
10.16	drop (vb)	tuhia
10.17	twist	kenahi
10.21	rise	ku'ata
10.23	fall	numaf
10.24	drip	c̷uľuna
10.25	throw	yuta
10.25	throw	wahi
10.26	shake	tenekac̷eneka
10.32	flow	huľua
10.34	float	huyaka
10.35	swim	ku'inta
10.351	dive	tahita
10.352	splash	c̷aľaľaka
10.37	fly (vb)	mita
10.38	blow	huwehahi
10.412	kneel	situta
10.413	crouch	c̷uruita
10.42	slide, slip	hic̷ic̷ia
10.43	jump, leap	c̷ahia
10.431	kick	hawaka
10.44	dance	tamaha
10.45	walk	heha
10.46	run	nuha
10.47	go	ľ̥a
10.47	go	heha
10.471	go up	kuwa
10.471	go up	ku'a
10.472	climb	kuwa
10.472	climb	ku'a
10.473	go down	tuwa
10.473	go down	tu'a
10.474	go out	hic̷ika
10.48	come	nuha
10.481	come back	yuwa
10.481	come back	yu'a
10.49	go away, depart	huľeka
10.491	disappear	makutawa
10.51	flee	ľ̥ayeľ̥a
10.55	reach, arrive	nuha
10.55	reach, arrive	huwi
10.57	enter	yaha
10.61	carry (bear)	tawata
10.613	carry-on-shoulder	wauľ̥i
10.614	carry-on-head	hutasitahi
10.62	bring	hata
10.63	send	hiyeta
10.65	drive	yakumata
10.67	push, shove	heta
10.71	road	ta'nehu
10.74	bridge	ku'ľihiya
10.75	carriage, wagon, cart	ta'nehu
10.831	canoe	ku'aľ̥a
10.85	oar	nehu
10.91	harbor, port	ta'nesiwi
11.11	have	ye
11.12	own, possess	iluke
11.15	hold	kasita
11.16	get, obtain	kasita
11.18	thing	ikule
11.21	give	ta
11.21	give	ma
11.28	harm, injure, damage	weteheta
11.31	seek, look for	wesiha
11.33	lose	makutata
11.34	release, let go	waľ̥uka
11.43	money	ha'ľata
11.54	avaricious, stingy	maľ̥iahi
11.61	lend	miyaha'ima
11.81	buy	weinta
11.86	store, shop	'weintakadehahic̷iwa
11.88	dear (costly, expensive)	ka'wenihi
11.89	cheap	hataka'wenihi
12.1	after	wenehi
12.11	place	te
12.2	beside	manehe
12.3	down, below	ihinehi
12.4	before	hihawa
12.41	right (side)	hihawa
12.5	inside, in	ihuawa
12.6	outside	tuľic̷i
12.8	up, above	a'niye
12.8	up, above	hutaye
12.11	place	nawa
12.12	put	we
12.13	sit	hac̷ika
12.14	lie down	hahita
12.15	stand	kac̷ia
12.17	remains, left overs	hutemi
12.213	pile up	c̷iha
12.22	join, unite	weka'ľehana
12.23	separate	wewa
12.232	divide	huľeka
12.24	open	kaľaha
12.25	shut, close	watahi
12.26	cover	watahi
12.27	hide, conceal	waľia
12.33	top	hutahi
12.35	end	yuľ̥awi
12.353	edge	huľ̥iwa
12.36	side	hihuni
12.37	middle, center	tehunaha
12.41	right (side)	minaľi
12.42	left (side)	ga'nuľ̥i
12.43	near (adv)	ka'ľehana
12.44	far (adv)	teye
12.45	east	hic̷ikaliwaka'muľ̥i
12.46	west	yahaľiwaka'muľ̥i
12.53	grow	tawina
12.55	large, big	iľ̥uwaľihi
12.56	small, little	witasimahi
12.57	long	a'ľ̥utuhi
12.58	tall	a'ľ̥utuhi
12.59	short	u'wimahi
12.61	wide, broad	a'ľ̥uhami
12.62	narrow	witasimahi
12.63	thick (in dimension)	a'ľ̥uminahi
12.65	thin (in dimension)	huwihahi
12.67	deep	ha'ľ̥iyehi
12.73	straight	ha'ľehu
12.74	crooked	te'mukuhi
12.84	line	yanane
12.85	hole	ewi
12.92	like, similar	wic̷a
12.93	change	weta
13.0	zero, nothing	hatameľ̥i
13.1	one	hasi'ana
13.2	two	c̷i'naha
13.14	every, all	huľi'ana
13.15	much, many	'banimi
13.16	more	c̷i'mahi
13.17	little (quantity), few	witasima
13.18	enough	a'ľ̥uc̷ina
13.181	some	hasi'ana
13.21	full	hukahi
13.23	part, piece	tehunaha
13.24	half	hihuni
13.33	alone, only	ha'yewana
13.34	first	kenu'awa
13.35	last	ma'buyaľ̥iami
13.38	two times	c̷i'nahasa
13.44	three times	sa
14.11	time	a'ľ̥utuna
14.13	new	a'wemaľi
14.15	old	a'winesitami
14.18	now	wi'hiti
14.21	swift, fast, quick	ke'heľina
14.22	slow	uyuhana
14.25	begin, beginning	kenuta
14.27	finish	ye
14.27	finish	huľi
14.28	cease, stop	kac̷ita
14.31	always	minena
14.33	sometimes	hac̷i'aľ̥a'naha
14.34	never	hata
14.35	again	ha'c̷inuwa
14.41	day	eɲahiľ̥i
14.42	night	yaľ̥ina
14.43	dawn	ka'haľihi
14.44	morning	ma'ľ̥etewenasa
14.451	afternoon	yaľ̥i
14.451	afternoon	yaľ̥ina
14.47	today	wi'hiti
14.48	tomorrow	yaľinasa
14.481	day-after-tomorrow	yaľ̥ina'sita
14.49	yesterday	uhiľ̥i
14.71	month	keľi
14.73	year	ka'muľ̥iaľi
14.74	winter	huľukaweni
14.76	summer	ka'muľ̥iaľi
