1257,WING,1
266,SCALE,1
763,SKIN,1
580,FUR,1
628,LEAF,1
964,WOOL,1
325,FELT,1
794,PEN,1
36,PUBIC HAIR,1
1040,HAIR,1
189,BODY HAIR,1
629,LEATHER,1
213,FIN,1
1201,FEATHER,1
1204,BARK,1
184,MAST,2
344,TREE TRUNK,2
281,POST,2
1227,BOARD,2
653,PLANT (VEGETATION),2
906,TREE,2
10,FIREWOOD,2
1296,WALKING STICK,2
241,TREE STUMP,2
339,DIGGING STICK,2
80,DOORPOST,2
1763,CLUB,2
1803,WOOD,2
420,FOREST,2
745,SHELF,2
1775,TABLE,2
2021,GRASP,3
702,CATCH,3
694,GET,3
733,EARN,3
1448,HOLD,3
1749,TAKE,3
1170,TRAP (CATCH),3
1228,EARTH (SOIL),4
1632,FLOOR,4
965,WORLD,4
1300,COUNTRY,4
89,NATIVE COUNTRY,4
723,PLACE (POSITION),4
626,LAND,4
166,MAINLAND,4
1060,CHILD-IN-LAW,5
236,STEPMOTHER,5
2264,DAUGHTER-IN-LAW (OF WOMAN),5
2265,DAUGHTER-IN-LAW (OF MAN),5
2254,FATHER-IN-LAW (OF WOMAN),5
2256,MOTHER-IN-LAW (OF WOMAN),5
2255,FATHER-IN-LAW (OF MAN),5
237,STEPFATHER,5
2257,MOTHER-IN-LAW (OF MAN),5
2267,SON-IN-LAW (OF MAN),5
2266,SON-IN-LAW (OF WOMAN),5
1832,SIBLING-IN-LAW,5
306,PARENTS-IN-LAW,5
490,DESCENDANTS,6
1231,NEW,6
1646,GIRL,6
76,YOUNG MAN,6
1801,CHILD (DESCENDANT),6
1366,BOY,6
1357,DAUGHTER,6
1289,BABY,6
1207,YOUNG,6
1304,CHILD (YOUNG HUMAN),6
77,YOUNG WOMAN,6
1620,SON,6
1892,TOUCH,7
1890,BELIEVE,7
1536,UNDERSTAND,7
1408,HEAR,7
1635,OBEY,7
1079,FEEL,7
1410,KNOW (SOMETHING),7
116,LARCH,7
1608,LISTEN,7
1265,HIGH,8
1203,LONG,8
1753,TOP,8
1406,FAR,8
1593,DEEP,8
711,TALL,8
1741,ABOVE,8
1591,UP,8
1758,OLDER SISTER,9
1640,SIBLING,9
1761,YOUNGER SISTER,9
1759,OLDER BROTHER,9
1262,BROTHER,9
1263,SISTER,9
1643,COUSIN,9
427,YOUNGER SIBLING,9
405,OLDER SIBLING,9
1760,YOUNGER BROTHER,9
12,MIDDAY,10
952,WEATHER,10
1260,DAY (24 HOURS),10
1225,DAY (NOT NIGHT),10
1323,CLOCK,10
691,SEASON,10
1353,HOUR,10
1343,SUN,10
892,TIME,10
1895,CLOTHES,11
474,DRESS,11
328,GRASS-SKIRT,11
332,RAG,11
1021,TOWEL,11
603,COAT,11
1151,VEIL,11
