id,nodes,type
infomap_73_RUN,1519/1615/2003/2858/421/956,infomap
infomap_278_SHIT (DEFECATE),592/676,infomap
infomap_92_PLAY,1096/1261/1413/1879/2467/642,infomap
infomap_36_OLD,1229/1383/1496/1669/2112/3004/305/406/907,infomap
infomap_156_STRAP,2959/2973/362/772,infomap
infomap_115_DYE,157/1613/1672/2001/647,infomap
infomap_75_WEAVE,133/1457/1729/1787/333/398,infomap
infomap_325_RICH,2996/712,infomap
infomap_1_SAY,1115/1182/1205/1275/1307/1363/1458/1599/1623/1626/1711/1811/2022/2708/2898/2903/2933/2995/304/443/9,infomap
infomap_248_COVER,1046/761,infomap
infomap_176_MURDER,127/1417/845,infomap
infomap_8_GRAIN,1077/1507/191/23/506/60/605/611/714/904/924/926/932,infomap
infomap_66_SQUEEZE,1033/1414/1452/1913/378/86/93,infomap
infomap_274_SPRING (OF WATER),849/954,infomap
infomap_20_LEG,1297/1301/1394/186/447/498/800/801/803/980,infomap
infomap_31_ARM,1183/1277/1371/1673/493/66/799/81/981,infomap
infomap_237_DOOR,1375/1567/2940,infomap
infomap_95_MALE (OF PERSON),1200/1553/1554/2261/2263,infomap
infomap_234_SHOULDER,1482/172/1994,infomap
infomap_57_HOUSE,1252/1316/1450/1678/2406/403/408,infomap
infomap_2_POST,10/1295/1296/1763/1803/184/239/241/281/344/420/571/653/80/906,infomap
infomap_9_SON-IN-LAW (OF MAN),1060/2254/2255/2256/2257/2264/2265/2266/2267/236/237/306,infomap
infomap_65_SHEEP,1331/1344/1345/1502/1972/264/820,infomap
infomap_24_THAT,1211/1214/169/1834/2400/262/2642/78/817,infomap
infomap_7_CORRECT (RIGHT),100/1019/1035/1268/1364/1404/1427/1495/1638/1657/1725/2410/509,infomap
infomap_158_MOTHER'S SISTER,1216/1272/170/171,infomap
infomap_125_BRASS INSTRUMENT (HORN OR TRUMPET),1305/1393/1927/2136/777,infomap
infomap_71_FORTRESS,1671/1690/1938/223/736/762/933,infomap
infomap_126_CANDLE,1273/1931/2131/32/786,infomap
infomap_12_BOY,1207/1289/1304/1357/1366/1620/1646/1801/490/76/77,infomap
infomap_119_PRISON,1072/1281/255/812/851,infomap
infomap_124_BLOW (OF WIND),1025/175/176/1971/360,infomap
infomap_10_TWIST,1113/121/1444/1445/1470/1588/2004/2224/2906/297/430/827,infomap
infomap_45_CHIME (ACTION),1433/1665/2396/2875/2879/2888/2895/2897,infomap
infomap_38_TIME,1225/1260/1323/1343/1353/691/892/952,infomap
infomap_6_FAULT,1034/1066/1067/1293/134/1390/161/1682/1814/1818/2971/381/484/983,infomap
infomap_41_FIELD,212/342/449/586/606/649/652/921,infomap
infomap_91_SEEM,1039/1076/1521/1558/1868/200,infomap
infomap_43_HOLE,1155/1667/1773/1794/2002/2144/2539/2949,infomap
infomap_121_BECOME,1112/1723/1951/1990/248,infomap
infomap_63_BOAST,101/1309/1687/174/1828/24/257,infomap
infomap_74_SUSPECT,1308/1415/1513/1841/1932/707,infomap
infomap_49_COOK (SOMETHING),1100/179/183/2146/2492/2909/792/991,infomap
infomap_24_THAT,1211/1214/169/1834/2400/262/2642/78/817,infomap
infomap_52_RISE (MOVE UPWARDS),1041/1102/367/479/568/705/96,infomap
infomap_12_BOY,1207/1289/1304/1357/1366/1620/1646/1801/490/76/77,infomap
infomap_182_HOOK,1071/1074/1870,infomap
infomap_263_TERMITE,587/883,infomap
infomap_168_SCOLD,1192/1206/299/8,infomap
infomap_301_BRICK,1006/901,infomap
infomap_87_BREATHE,1407/168/27/858/870/960,infomap
infomap_79_SALTY,1091/1126/1274/1906/70/887,infomap
infomap_224_COME BACK,142/581/85,infomap
infomap_65_SHEEP,1331/1344/1345/1502/1972/264/820,infomap
infomap_10_TWIST,1113/121/1444/1445/1470/1588/2004/2224/2906/297/430/827,infomap
infomap_318_FEED,2134/739,infomap
