ConcepticonId,ConcepticonGloss,Community,CommunitySize,CentralNode,CentralNodeGloss
598,SHELL,2,580,FUR,17
1201,FEATHER,2,580,FUR,17
580,FUR,2,580,FUR,17
580,FUR,2,580,FUR,17
694,GET,1,1749,TAKE,14
281,POST,4,906,TREE,14
344,TREE TRUNK,4,906,TREE,14
1227,BOARD,4,906,TREE,14
723,PLACE (POSITION),3,626,LAND,13
605,GRAIN,9,605,GRAIN,13
1507,FRUIT,9,605,GRAIN,13
1507,FRUIT,9,605,GRAIN,13
605,GRAIN,9,605,GRAIN,13
605,GRAIN,9,605,GRAIN,13
932,BARLEY,9,605,GRAIN,13
1207,YOUNG,6,1366,BOY,12
1681,WAIST,10,1301,FOOT,11
1745,HIP,10,1301,FOOT,11
800,THIGH,10,1301,FOOT,11
332,RAG,7,1895,CLOTHES,10
332,RAG,7,1895,CLOTHES,10
1600,SKIRT,7,1895,CLOTHES,10
1562,MIND,15,53,SPIRIT,10
1562,MIND,15,53,SPIRIT,10
53,SPIRIT,15,53,SPIRIT,10
680,BREAK (DESTROY OR GET DESTROYED),16,1432,CUT,10
1432,CUT,16,1432,CUT,10
1545,HOST,24,301,CHIEFTAIN,10
383,MASTER,24,301,CHIEFTAIN,10
1577,AND,28,1881,ENOUGH,10
1577,AND,28,1881,ENOUGH,10
204,AGAIN,28,1881,ENOUGH,10
1992,MORE,28,1881,ENOUGH,10
1881,ENOUGH,28,1881,ENOUGH,10
1881,ENOUGH,28,1881,ENOUGH,10
1273,CANDLE,33,221,FIRE,10
221,FIRE,33,221,FIRE,10
221,FIRE,33,221,FIRE,10
1273,CANDLE,33,221,FIRE,10
1931,BEESWAX,33,221,FIRE,10
1203,LONG,8,1265,HIGH,9
1203,LONG,8,1265,HIGH,9
1336,EAT,12,256,FOOD,9
256,FOOD,12,256,FOOD,9
1225,DAY (NOT NIGHT),14,1225,DAY (NOT NIGHT),9
180,CALL BY NAME,18,298,SHRIEK,9
1084,CALL,18,298,SHRIEK,9
1422,BE ALIVE,21,987,REMAIN,9
1416,SIT,21,987,REMAIN,9
987,REMAIN,21,987,REMAIN,9
1579,BE,21,987,REMAIN,9
1850,COTTON,23,1218,ROPE,9
1161,THREAD,23,1218,ROPE,9
343,VINE,23,1218,ROPE,9
343,VINE,23,1218,ROPE,9
1218,ROPE,23,1218,ROPE,9
2133,STRIKE OR BEAT,34,2133,STRIKE OR BEAT,9
2133,STRIKE OR BEAT,34,2133,STRIKE OR BEAT,9
1456,THROW,34,2133,STRIKE OR BEAT,9
2133,STRIKE OR BEAT,34,2133,STRIKE OR BEAT,9
1032,CITIZEN,44,1644,RELATIVES,9
2008,RESCUE,48,1997,PRESERVE,9
1997,PRESERVE,48,1997,PRESERVE,9
998,PUT,48,1997,PRESERVE,9
1477,KEEP,48,1997,PRESERVE,9
1079,FEEL,11,1079,FEEL,8
381,BLAME,17,134,FAULT,8
134,FAULT,17,134,FAULT,8
652,PLAIN,19,652,PLAIN,8
606,GRASS,19,652,PLAIN,8
649,PASTURE,19,652,PLAIN,8
1221,NOSE,31,73,BEAK,8
1221,NOSE,31,73,BEAK,8
73,BEAK,31,73,BEAK,8
73,BEAK,31,73,BEAK,8
1380,TOOTH,31,73,BEAK,8
1528,FORGIVE,39,1095,LET GO OR SET FREE,8
1938,FORTRESS,70,1690,FENCE,8
1690,FENCE,70,1690,FENCE,8
736,YARD,70,1690,FENCE,8
736,YARD,70,1690,FENCE,8
1690,FENCE,70,1690,FENCE,8
721,LOW,22,721,LOW,7
682,SIDE,32,682,SIDE,7
1816,BESIDE,32,682,SIDE,7
1414,SQUEEZE,36,1913,PRESS,7
1913,PRESS,36,1913,PRESS,7
1764,OBSCURE,38,11,DARKNESS,7
1153,CATTLE,45,1153,CATTLE,7
1153,CATTLE,45,1153,CATTLE,7
1098,WEIGH,46,1098,WEIGH,7
820,LAMB,47,1331,SHEEP,7
948,WATER,57,948,WATER,7
948,WATER,57,948,WATER,7
345,SAP,57,948,WATER,7
704,CLEAN,58,704,CLEAN,7
704,CLEAN,58,704,CLEAN,7
1624,EMPTY,62,1294,ZERO,7
1294,ZERO,62,1294,ZERO,7
1240,NOT,62,1294,ZERO,7
2002,DITCH,65,2002,DITCH,7
1667,HOLE,65,2002,DITCH,7
2144,SPRING OR WELL,65,2002,DITCH,7
1601,WEAK,68,1234,SMOOTH,7
1856,SOFT,68,1234,SMOOTH,7
1234,SMOOTH,68,1234,SMOOTH,7
1668,GRIEF,84,1000,ANXIETY,7
1000,ANXIETY,84,1000,ANXIETY,7
781,FEAR (FRIGHT),84,1000,ANXIETY,7
1421,SUCK,106,1401,DRINK,7
578,KISS,106,1401,DRINK,7
1401,DRINK,106,1401,DRINK,7
250,LIGHT (COLOR),29,679,BRIGHT,6
568,RISE (MOVE UPWARDS),30,1102,CLIMB,6
1102,CLIMB,30,1102,CLIMB,6
1928,CEASE,35,1766,FINISH,6
42,STINKING,40,42,STINKING,6
1841,SUSPECT,41,1513,THINK (BELIEVE),6
1783,PAIN,43,1783,PAIN,6
169,IT,50,262,HE OR SHE OR IT,6
262,HE OR SHE OR IT,50,262,HE OR SHE OR IT,6
1678,HUT,52,1252,HOUSE,6
1091,SALTY,53,1091,SALTY,6
1906,SOUR,53,1091,SALTY,6
1277,HAND,54,1277,HAND,6
1277,HAND,54,1277,HAND,6
1673,ARM,54,1277,HAND,6
141,BURN (SOMETHING),56,141,BURN (SOMETHING),6
1970,CANOE,63,1970,CANOE,6
1666,MUTE,64,1518,STUPID,6
379,BLUNT,64,1518,STUPID,6
1518,STUPID,64,1518,STUPID,6
2135,TRADE OR BARTER,67,1571,SELL,6
1571,SELL,67,1571,SELL,6
615,HORSE,72,615,HORSE,6
138,BATHE,74,1439,SWIM,6
1439,SWIM,74,1439,SWIM,6
371,PICK UP,79,371,PICK UP,6
389,FISH TRAP,80,293,NETBAG,6
388,FISHNET,80,293,NETBAG,6
293,NETBAG,80,293,NETBAG,6
293,NETBAG,80,293,NETBAG,6
211,CAST,87,2575,DO OR MAKE,6
289,MOLD,87,2575,DO OR MAKE,6
657,PRICE,100,657,PRICE,6
657,PRICE,100,657,PRICE,6
1914,DEBT,100,657,PRICE,6
1081,BILL,100,657,PRICE,6
1767,SCRAPE,134,230,SWEEP,6
1449,RUB,134,230,SWEEP,6
230,SWEEP,134,230,SWEEP,6
