EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
1346,1124,1,1,1
1346,1487,1,1,1
1346,2018,1,1,1
1346,1994,1,1,1
1346,1606,1,1,1
1346,1155,1,1,1
1346,1301,1,1,1
1346,2012,7,7,7
1346,1730,1,1,1
1346,2136,2,2,2
1346,923,1,1,1
1346,24,1,1,1
1346,1957,1,1,1
1346,1774,1,1,1
1346,1481,1,1,1
1346,2118,1,1,1
1346,943,1,1,1
1346,1828,1,1,1
1346,897,1,1,1
1346,700,1,1,1
1346,413,1,1,1
1346,1784,1,1,1
1346,1169,1,1,1
1346,1123,2,2,2
1346,777,1,1,1
1346,1363,8,12,12
1346,1961,2,2,2
1346,1483,1,1,1
1346,663,1,1,1
1346,1592,1,1,1
1346,674,1,1,1
1346,1393,1,1,1
1346,191,1,1,1
1346,355,1,1,1
1346,1347,2,2,2
1346,760,1,1,1
1346,1811,1,1,1
1346,1071,1,1,1
1346,623,1,1,1
1346,1966,1,1,1
1346,624,1,1,1
1346,1333,21,38,42
1346,1745,1,1,1
1346,618,1,1,1
1807,808,1,1,1
1807,1526,1,1,1
1807,1422,1,1,1
1807,1869,1,1,1
1807,1405,1,1,1
1807,1336,1,1,1
1807,1577,1,1,1
1807,1233,1,1,1
1807,1225,6,8,8
1807,705,1,1,1
1807,1174,2,2,2
1807,12,4,8,9
1807,1571,1,1,1
1807,1343,2,2,2
1807,1617,1,1,1
1807,1098,1,1,1
1807,1629,9,13,13
1807,2135,1,1,1
1807,161,1,1,1
1807,1817,1,1,1
1807,1313,1,1,1
1807,1833,2,2,2
1807,1618,1,1,1
1807,1260,1,1,1
1807,477,16,23,24
1807,926,1,1,1
1807,768,2,2,3
1807,1102,1,1,1
1807,1619,1,1,1
1807,1287,1,1,1
602,994,1,1,1
602,129,1,1,1
602,2253,1,1,1
602,956,4,4,4
602,1404,1,1,1
602,1074,1,1,1
602,1719,8,9,9
602,1071,1,1,1
602,749,1,1,1
602,1633,1,1,1
602,727,1,1,1
602,1417,1,1,1
602,722,1,1,1
602,713,4,8,8
602,1486,1,1,1
602,712,1,1,1
602,1437,1,1,1
