Identifier,Language_name,Language_ID,Family,Longitude,Latitude
tlingit_tlin1245,Tlingit,tlin1245,Athapaskan-Eyak-Tlingit [atha1245],-135.29030999999998,59.444665
dargwagapshimashuktidialect_darg1241,Dargwa (Gapshima Shukti dialect),darg1241,Nakh-Daghestanian [nakh1245],47.43876,42.42568
manange_mana1288,Manange,mana1288,Sino-Tibetan [sino1245],84.05154,28.64158
rumai_ruma1248,Rumai,ruma1248,Austroasiatic [aust1305],97.317245,23.640405
sanchongkelao_gree1278,Sanchong Kelao,gree1278,Tai-Kadai [taik1256],104.69783,22.5632
polci_polc1243,Polci,polc1243,Afro-Asiatic [afro1255],9.53362,10.02581
rapanui_rapa1244,Rapa Nui,rapa1244,Austronesian [aust1307],-109.34249,-27.11299
nogai_noga1249,Nogai,noga1249,Turkic [turk1311],46.66178,43.59168
avarkusurdialect_avar1256,Avar (Kusur dialect),avar1256,Nakh-Daghestanian [nakh1245],46.55802,41.70474
southernkam_sout2741,Southern Kam,sout2741,Tai-Kadai [taik1256],109.22191,25.8874
nahuatlsierradezacapoaxtlavariety_high1278,Nahuatl (Sierra de Zacapoaxtla variety),high1278,Uto-Aztecan [utoa1244],-97.55562,20.15536
imbaburaquechua_imba1240,Imbabura Quechua,imba1240,Quechuan [quec1387],-78.37286,0.31776
hlaibaotingvariety_hlai1239,Hlai (Baoting variety),hlai1239,Tai-Kadai [taik1256],109.4587,18.80621
moseten_mose1249,Mosetén,mose1249,NAN,-67.83756,-14.64448
chechen_chec1245,Chechen,chec1245,Nakh-Daghestanian [nakh1245],45.5,43.5
chipaya_chip1262,Chipaya,chip1262,Uru-Chipaya [uruc1242],-67.89633,-18.73951
oldchurchslavonic_chur1257,Old Church Slavonic,chur1257,Indo-European [indo1319],22.844237,43.717123
mari_east2328,Mari,east2328,Uralic [ural1272],48.40502,55.8307
prai_pray1239,Prai,pray1239,Austroasiatic [aust1305],101.02103,19.43064
kemekemievariety_manm1238,Keme (Kemie variety),manm1238,Austroasiatic [aust1305],100.84153,22.07427
cayuvava_cayu1262,Cayuvava,cayu1262,NAN,-65.48219,-13.24822
cofan_cofa1242,Cofán,cofa1242,NAN,-77.064305,0.276675
sakha_yaku1245,Sakha,yaku1245,Turkic [turk1311],133.98031,61.69744
tsezmokokdialect_dido1241,Tsez (Mokok dialect) ,dido1241,Nakh-Daghestanian [nakh1245],45.80959,42.26458
sui_suii1243,Sui,suii1243,Tai-Kadai [taik1256],106.56279,24.048835
romanian_roma1327,Romanian,roma1327,Indo-European [indo1319],24.225569999999998,46.39129200000001
karaja_kara1500,Karajá,kara1500,Nuclear-Macro-Je [nucl1710],-50.34918,-11.18812
iduh_oduu1239,Iduh,oduu1239,Austroasiatic [aust1305],104.106145,19.349715
ayoreo_ayor1240,Ayoreo,ayor1240,Zamucoan [zamu1243],-60.217495,-19.220055000000002
wichi_wich1264,Wichí,wich1264,Matacoan [mata1289],-62.17574,-23.16326
wayampi_waya1270,Wayampi,waya1270,Tupian [tupi1275],-52.688705,1.73817
archivariety1_arch1244,Archi (variety 1),arch1244,Nakh-Daghestanian [nakh1245],46.82673,42.3239
nyakur_nyah1250,Nyakur,nyah1250,Austroasiatic [aust1305],101.51465,15.89091
tsakhur_tsak1249,Tsakhur,tsak1249,Nakh-Daghestanian [nakh1245],46.88585,41.59156
waorani_waor1240,Waorani,waor1240,NAN,-76.68295,-1.12312
pusing_bitt1240,Pusing,bitt1240,Austroasiatic [aust1305],101.915765,21.347375
cavinena_cavi1250,Cavineña,cavi1250,Tacanan [taca1255],-66.62773,-13.35441
irish_iris1253,Irish,iris1253,Indo-European [indo1319],-7.61509,53.21855
rutul_rutu1240,Rutul,rutu1240,Nakh-Daghestanian [nakh1245],47.32436,41.61866
aghul_aghu1253,Aghul,aghu1253,Nakh-Daghestanian [nakh1245],47.58429,41.92418
vietnamese_viet1252,Vietnamese,viet1252,Austroasiatic [aust1305],106.75682666666665,18.388703333333336
hindi_hind1269,Hindi  ,hind1269,Indo-European [indo1319],77.0,25.0
whitehmong_hmon1333,White Hmong,hmon1333,Hmong-Mien [hmon1336],103.163915,21.546059999999997
archi_arch1244,Archi,arch1244,Nakh-Daghestanian [nakh1245],46.82673,42.3239
lakshalidialect_lakk1252,Lak (Shali dialect),lakk1252,Nakh-Daghestanian [nakh1245],47.0809,42.13275
telugu_telu1262,Telugu,telu1262,Dravidian [drav1251],78.702392,16.452944
chiriguano_east2555,Chiriguano,east2555,Tupian [tupi1275],-61.717855,-21.090935
khamuangchiangmaivariety_nort2740,Khamuang (Chiang Mai variety),nort2740,Tai-Kadai [taik1256],100.20739,18.857495
mansi_mans1258,Mansi,mans1258,Uralic [ural1272],61.34397,64.41179
catuquina_pano1254,Catuquina,pano1254,Panoan [pano1256],-71.56151,-7.97456
